Measurement ID,Year,Location ID,Location,Min Temp,Max Temp,Avg Temp
2019-CA-007,2019,CA-007,Butte,48.3,72.1,60.2
2019-CA-009,2019,CA-009,Calaveras,46.1,70.4,58.2
2019-CA-011,2019,CA-011,Colusa,49.3,73.8,61.6
2019-CA-013,2019,CA-013,Contra Costa,49.8,71.4,60.6
2019-CA-015,2019,CA-015,Del Norte,42.7,61.5,52.1
2019-CA-017,2019,CA-017,El Dorado,42.6,64.5,53.6
2019-CA-019,2019,CA-019,Fresno,43.6,68.1,55.8
2019-CA-021,2019,CA-021,Glenn,48.6,72.3,60.4
2019-CA-023,2019,CA-023,Humboldt,44.3,64.6,54.5
2019-CA-025,2019,CA-025,Imperial,60,85.8,72.9
2019-CA-027,2019,CA-027,Inyo,47.9,72.1,60
2019-CA-029,2019,CA-029,Kern,49.3,74,61.7
2019-CA-031,2019,CA-031,Kings,51.1,77.5,64.3
2019-CA-033,2019,CA-033,Lake,46.3,68.4,57.4
2019-CA-035,2019,CA-035,Lassen,33.8,59.4,46.6
2019-CA-037,2019,CA-037,Los Angeles,50,72.1,61
2019-CA-039,2019,CA-039,Madera,43.8,68.7,56.2
2019-CA-041,2019,CA-041,Marin,48.7,65.1,56.9
2019-CA-043,2019,CA-043,Mariposa,42.4,67.6,55
2019-CA-045,2019,CA-045,Mendocino,45.2,67,56.1
2019-CA-047,2019,CA-047,Merced,51,74.8,62.9
2019-CA-049,2019,CA-049,Modoc,33.8,59.6,46.7
2019-CA-051,2019,CA-051,Mono,30,57.2,43.6
2019-CA-053,2019,CA-053,Monterey,45.8,72.4,59.1
2019-CA-055,2019,CA-055,Napa,47.8,72.1,60
2019-CA-057,2019,CA-057,Nevada,40.3,63.5,51.9
2019-CA-059,2019,CA-059,Orange,54.1,73.6,63.9
2019-CA-061,2019,CA-061,Placer,41.9,65,53.4
2019-CA-063,2019,CA-063,Plumas,34.8,59.4,47.1
2019-CA-065,2019,CA-065,Riverside,55.6,79.7,67.6
2019-CA-067,2019,CA-067,Sacramento,50.2,75.5,62.9
2019-CA-069,2019,CA-069,San Benito,46.7,71.4,59.1
2019-CA-071,2019,CA-071,San Bernardino,53.7,77.3,65.5
2019-CA-073,2019,CA-073,San Diego,50.1,74.8,62.4
2019-CA-075,2019,CA-075,San Francisco,50.4,65.6,58
2019-CA-077,2019,CA-077,San Joaquin,50.1,76,63.1
2019-CA-079,2019,CA-079,San Luis Obispo,46.4,73,59.7
2019-CA-081,2019,CA-081,San Mateo,48.9,67.2,58
2019-CA-083,2019,CA-083,Santa Barbara,46.9,70.2,58.6
2019-CA-085,2019,CA-085,Santa Clara,47.7,70,58.8
2019-CA-087,2019,CA-087,Santa Cruz,47.4,69.7,58.6
2019-CA-089,2019,CA-089,Shasta,43,67.5,55.3
2019-CA-091,2019,CA-091,Sierra,34.9,58.7,46.8
2019-CA-093,2019,CA-093,Siskiyou,37.5,60.4,49
2019-CA-095,2019,CA-095,Solano,49.7,73.6,61.7
2019-CA-097,2019,CA-097,Sonoma,47.1,68.7,57.9
2019-CA-099,2019,CA-099,Stanislaus,50,74.7,62.3
2019-CA-101,2019,CA-101,Sutter,50.6,76.1,63.4
2019-CA-103,2019,CA-103,Tehama,47.4,70.3,58.8
2019-CA-105,2019,CA-105,Trinity,40.6,65.1,52.9
2019-CA-107,2019,CA-107,Tulare,42.6,65.5,54
2019-CA-109,2019,CA-109,Tuolumne,38,61.6,49.9
2019-CA-111,2019,CA-111,Ventura,46.3,69,57.7
2019-CA-113,2019,CA-113,Yolo,49.6,75.2,62.4
2019-CA-115,2019,CA-115,Yuba,48.8,72.9,60.9
2020-CA-001,2020,CA-001,Alameda,50.7,72.6,61.7
2020-CA-003,2020,CA-003,Alpine,34.3,58.2,46.3
2020-CA-005,2020,CA-005,Amador,48,72.8,60.5
2020-CA-007,2020,CA-007,Butte,49,75.4,62.2
2020-CA-009,2020,CA-009,Calaveras,47.8,73.7,60.8
2020-CA-011,2020,CA-011,Colusa,50.6,77.6,64.1
2020-CA-013,2020,CA-013,Contra Costa,51.2,74.2,62.7
2020-CA-015,2020,CA-015,Del Norte,43.2,63.4,53.3
2020-CA-017,2020,CA-017,El Dorado,44.5,68.2,56.4
2020-CA-019,2020,CA-019,Fresno,44.4,70.5,57.5
2020-CA-021,2020,CA-021,Glenn,49.3,75.8,62.6
2020-CA-023,2020,CA-023,Humboldt,44.8,66.9,55.8
2020-CA-025,2020,CA-025,Imperial,61.2,89.7,75.5
2020-CA-027,2020,CA-027,Inyo,49.6,75.7,62.7
2020-CA-029,2020,CA-029,Kern,50.2,76.6,63.4
2020-CA-031,2020,CA-031,Kings,51.3,79,65.2
2020-CA-033,2020,CA-033,Lake,47.3,72.1,59.7
