MeasurementID,Year,LocationID,Location,Value,MinTemp,MaxTemp,AvgTemp
2018-CA-081,2018,CA-081,San Mateo,22.73,48,67.2,57.6
2018-CA-083,2018,CA-083,Santa Barbara,12.72,47.8,72.7,60.2
2018-CA-085,2018,CA-085,Santa Clara,21.1,47.9,71.1,59.5
2018-CA-087,2018,CA-087,Santa Cruz,27.33,46.4,70.4,58.4
2018-CA-089,2018,CA-089,Shasta,34.13,43.4,69.8,56.6
2018-CA-091,2018,CA-091,Sierra,39.27,35.6,61.8,48.7
2018-CA-093,2018,CA-093,Siskiyou,26.23,38.1,62.5,50.3
2018-CA-095,2018,CA-095,Solano,17.34,48.8,74.5,61.6
2018-CA-097,2018,CA-097,Sonoma,36.02,46.3,69.8,58.1
2018-CA-099,2018,CA-099,Stanislaus,13.57,50.1,75.8,62.9
2018-CA-101,2018,CA-101,Sutter,17.61,49.5,77.8,63.6
2018-CA-103,2018,CA-103,Tehama,30.58,47.6,72.4,60
2018-CA-105,2018,CA-105,Trinity,39.76,40.7,66.9,53.8
2018-CA-107,2018,CA-107,Tulare,16.35,43.9,68,55.9
2018-CA-109,2018,CA-109,Tuolumne,37.4,39.4,64.3,51.9
2018-CA-111,2018,CA-111,Ventura,14.24,47,72.1,59.5
2018-CA-113,2018,CA-113,Yolo,17.84,48.3,76.5,62.4
2018-CA-115,2018,CA-115,Yuba,33.66,49.1,74.9,62
2019-CA-001,2019,CA-001,Alameda,22.29,49.3,70,59.7
2019-CA-003,2019,CA-003,Alpine,47.21,32.5,54.4,43.5
2019-CA-005,2019,CA-005,Amador,48.65,45.9,69.6,57.8
2019-CA-007,2019,CA-007,Butte,60.1,48.3,72.1,60.2
2019-CA-009,2019,CA-009,Calaveras,48.25,46.1,70.4,58.2
2019-CA-011,2019,CA-011,Colusa,32.89,49.3,73.8,61.6
2019-CA-013,2019,CA-013,Contra Costa,23.29,49.8,71.4,60.6
2019-CA-015,2019,CA-015,Del Norte,79.65,42.7,61.5,52.1
